Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,attempted take ons,Succ,Match Report
26-05-2020,Tue,Bundesliga,Matchweek 28,Home,L 0–1,Dortmund,Bayern Munich,N,"AM,LM",45,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0.1,2,0,34,40,85,2,24,1,2,2,Match Report
31-05-2020,Sun,Bundesliga,Matchweek 29,Away,W 6–1,Dortmund,Paderborn 07,Y,AM,90,3,0,0,0,3,3,1,0,66,0,1,0,1.2,1.2,0.9,7,0,50,56,89.3,5,51,4,4,3,Match Report
06-06-2020,Sat,Bundesliga,Matchweek 30,Home,W 1–0,Dortmund,Hertha BSC,Y,AM,90,0,0,0,0,3,1,0,0,88,1,0,0,1.2,1.2,0.2,6,1,68,78,87.2,7,66,4,9,7,Match Report
13-06-2020,Sat,Bundesliga,Matchweek 31,Away,W 1–0,Dortmund,Düsseldorf,Y,AM,90,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0.5,2,0,56,64,87.5,3,54,2,3,2,Match Report
17-06-2020,Wed,Bundesliga,Matchweek 32,Home,L 0–2,Dortmund,Mainz 05,Y,"AM,RW",76,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0.6,5,0,45,55,81.8,3,52,6,4,2,Match Report
20-06-2020,Sat,Bundesliga,Matchweek 33,Away,W 2–0,Dortmund,RB Leipzig,N,AM,13,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,4,6,66.7,1,4,0,0,0,Match Report
27-06-2020,Sat,Bundesliga,Matchweek 34,Home,L 0–4,Dortmund,Hoffenheim,N,RW,45,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0,23,29,79.3,3,18,2,0,0,Match Report
26-08-2018,Sun,Bundesliga,Matchweek 1,Home,W 4–1,Dortmund,RB Leipzig,N,RW,14,0,1,0,0,0,0,0,0,13,2,1,0,0,0,0.2,1,1,8,11,72.7,1,7,1,0,0,Match Report
31-08-2018,Fri,Bundesliga,Matchweek 2,Away,D 0–0,Dortmund,Hannover 96,N,FW,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,4,4,100,0,5,1,1,0,Match Report
14-09-2018,Fri,Bundesliga,Matchweek 3,Home,W 3–1,Dortmund,Eint Frankfurt,N,"RW,LW",33,0,1,0,0,0,0,0,0,17,0,1,0,0,0,0.2,3,2,14,17,82.4,1,15,3,1,1,Match Report
22-09-2018,Sat,Bundesliga,Matchweek 4,Away,D 1–1,Dortmund,Hoffenheim,N,LW,31,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,11,13,84.6,0,15,1,3,1,Match Report
26-09-2018,Wed,Bundesliga,Matchweek 5,Home,W 7–0,Dortmund,Nürnberg,N,"RW,LW",17,1,1,0,0,1,1,0,0,17,0,0,1,0.3,0.3,0.2,4,1,11,12,91.7,1,14,1,2,1,Match Report
29-09-2018,Sat,Bundesliga,Matchweek 6,Away,W 4–2,Dortmund,Leverkusen,N,RW,23,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0.5,2,2,13,15,86.7,1,13,2,1,1,Match Report
06-10-2018,Sat,Bundesliga,Matchweek 7,Home,W 4–3,Dortmund,Augsburg,Y,RW,90,0,1,0,0,0,0,0,0,55,0,0,1,0,0,1,9,2,42,51,82.4,6,34,6,1,1,Match Report
20-10-2018,Sat,Bundesliga,Matchweek 8,Away,W 4–0,Dortmund,Stuttgart,Y,"RW,LW",90,1,0,0,0,1,1,0,0,53,0,1,0,0.1,0.1,0.1,3,0,32,43,74.4,2,34,5,3,2,Match Report
27-10-2018,Sat,Bundesliga,Matchweek 9,Home,D 2–2,Dortmund,Hertha BSC,Y,RW,71,2,0,0,0,3,2,0,0,37,0,0,0,1.7,1.7,0.1,2,0,21,28,75,2,28,5,3,2,Match Report
03-11-2018,Sat,Bundesliga,Matchweek 10,Away,W 1–0,Dortmund,Wolfsburg,Y,RW,77,0,0,0,0,1,0,0,0,65,0,1,0,0,0,0.1,3,0,43,57,75.4,5,32,5,3,0,Match Report
10-11-2018,Sat,Bundesliga,Matchweek 11,Home,W 3–2,Dortmund,Bayern Munich,Y,RW,90,0,0,0,0,1,0,0,0,55,2,0,0,0,0,0,4,1,30,41,73.2,3,44,3,7,3,Match Report
24-11-2018,Sat,Bundesliga,Matchweek 12,Away,W 2–1,Dortmund,Mainz 05,Y,RW,90,0,0,0,0,0,0,0,0,84,0,0,1,0,0,0.1,6,1,54,72,75,6,55,6,1,1,Match Report
01-12-2018,Sat,Bundesliga,Matchweek 13,Home,W 2–0,Dortmund,Freiburg,Y,RW,90,0,0,0,0,1,1,0,0,64,3,1,1,0.1,0.1,0.1,4,2,36,48,75,3,47,7,12,9,Match Report
08-12-2018,Sat,Bundesliga,Matchweek 14,Away,W 2–1,Dortmund,Schalke 04,Y,RW,88,1,0,0,0,2,1,0,0,41,1,0,0,0.3,0.3,0,4,1,27,31,87.1,3,35,4,9,4,Match Report
15-12-2018,Sat,Bundesliga,Matchweek 15,Home,W 2–1,Dortmund,Werder Bremen,Y,RW,89,0,1,0,0,3,1,0,0,48,0,0,0,0.8,0.8,0.9,6,2,34,42,81,0,28,2,5,5,Match Report
18-12-2018,Tue,Bundesliga,Matchweek 16,Away,L 1–2,Dortmund,Düsseldorf,N,RW,31,0,0,0,0,0,0,0,0,29,0,1,1,0,0,0.1,4,1,19,23,82.6,5,22,4,8,7,Match Report
21-12-2018,Fri,Bundesliga,Matchweek 17,Home,W 2–1,Dortmund,Gladbach,Y,RW,89,1,0,0,0,2,1,0,0,54,0,0,0,0.1,0.1,0.1,4,1,36,45,80,6,41,6,6,4,Match Report
19-01-2019,Sat,Bundesliga,Matchweek 18,Away,W 1–0,Dortmund,RB Leipzig,Y,"RM,RW",87,0,0,0,0,0,0,1,0,57,2,2,2,0,0,0.1,2,0,37,45,82.2,4,34,3,7,4,Match Report
26-01-2019,Sat,Bundesliga,Matchweek 19,Home,W 5–1,Dortmund,Hannover 96,Y,"RW,LW",90,0,2,0,0,2,1,0,0,76,1,0,0,0.1,0.1,0.5,6,2,54,64,84.4,9,61,6,10,7,Match Report
02-02-2019,Sat,Bundesliga,Matchweek 20,Away,D 1–1,Dortmund,Eint Frankfurt,Y,RW,64,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0.2,7,0,21,27,77.8,4,34,4,7,4,Match Report
09-02-2019,Sat,Bundesliga,Matchweek 21,Home,D 3–3,Dortmund,Hoffenheim,Y,"RW,AM,LM",90,1,0,0,0,4,2,0,0,71,1,0,3,0.2,0.2,0,5,3,47,53,88.7,8,54,11,9,7,Match Report
18-02-2019,Mon,Bundesliga,Matchweek 22,Away,D 0–0,Dortmund,Nürnberg,Y,RW,90,0,0,0,0,0,0,0,0,102,0,2,0,0,0,0.2,5,0,65,88,73.9,6,77,8,10,7,Match Report
24-02-2019,Sun,Bundesliga,Matchweek 23,Home,W 3–2,Dortmund,Leverkusen,Y,"RW,FW",90,1,1,0,0,2,2,0,0,33,3,0,0,0.1,0.1,0.8,4,1,19,24,79.2,3,23,5,2,1,Match Report
01-03-2019,Fri,Bundesliga,Matchweek 24,Away,L 1–2,Dortmund,Augsburg,Y,"RW,RM",90,0,0,0,0,2,1,0,0,75,0,0,2,0.2,0.2,0.1,7,1,51,64,79.7,6,50,2,4,2,Match Report
09-03-2019,Sat,Bundesliga,Matchweek 25,Home,W 3–1,Dortmund,Stuttgart,Y,"RM,LM,LW",90,0,0,0,0,2,1,0,0,94,1,0,1,0.1,0.1,0.1,5,1,62,81,76.5,5,62,4,6,3,Match Report
16-03-2019,Sat,Bundesliga,Matchweek 26,Away,W 3–2,Dortmund,Hertha BSC,Y,"LW,RW",89,0,2,0,0,5,1,1,0,53,0,0,1,0.4,0.4,0.3,11,2,36,45,80,2,37,8,7,6,Match Report
30-03-2019,Sat,Bundesliga,Matchweek 27,Home,W 2–0,Dortmund,Wolfsburg,Y,"LW,RW",90,0,1,0,0,2,1,0,0,67,0,2,2,0.1,0.1,0.4,3,2,40,56,71.4,3,46,7,5,4,Match Report
06-04-2019,Sat,Bundesliga,Matchweek 28,Away,L 0–5,Dortmund,Bayern Munich,Y,RM,90,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,22,29,75.9,2,31,1,5,2,Match Report
13-04-2019,Sat,Bundesliga,Matchweek 29,Home,W 2–1,Dortmund,Mainz 05,Y,"RW,RM",90,2,0,0,0,2,2,0,0,82,0,0,2,1,1,0.7,6,0,60,72,83.3,5,46,7,4,1,Match Report
21-04-2019,Sun,Bundesliga,Matchweek 30,Away,W 4–0,Dortmund,Freiburg,Y,RW,90,1,0,0,0,2,1,0,0,65,1,0,3,0.8,0.8,0,2,1,50,55,90.9,6,35,2,4,2,Match Report
27-04-2019,Sat,Bundesliga,Matchweek 31,Home,L 2–4,Dortmund,Schalke 04,Y,"RW,RM,LM,AM",90,0,1,0,0,0,0,0,0,64,0,1,0,0,0,0.4,4,1,43,54,79.6,9,46,6,14,7,Match Report
04-05-2019,Sat,Bundesliga,Matchweek 32,Away,D 2–2,Dortmund,Werder Bremen,Y,"RW,RM",90,0,0,0,0,1,0,0,0,66,0,1,0,0.1,0.1,0.2,5,0,41,53,77.4,6,46,6,11,6,Match Report
11-05-2019,Sat,Bundesliga,Matchweek 33,Home,W 3–2,Dortmund,Düsseldorf,N,"LW,RW",30,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,13,13,100,2,20,1,7,2,Match Report
18-05-2019,Sat,Bundesliga,Matchweek 34,Away,W 2–0,Dortmund,Gladbach,Y,RW,86,1,0,0,0,1,1,0,0,73,1,0,0,0.5,0.5,0.1,4,1,52,65,80,5,47,6,8,6,Match Report
