player,NPG,npXG,xAG,Shots,SoT,PrgC,SCA,GCA,Ast_per90,PrgP_per90,Passes_Completed_per90,Passes_Attempted_per90,Pass_Completion_Pct,Att_per90,Succ_per90,Success_Rate,NPG_total,Shots_total,SoT_total,Shots_per_NPG,NPG_Conversion_Rate,SoT_Conversion_Rate,NPG_per90,Shots_per90
Havertz,0.3364036844213055,0.2607128554265118,0.18382058470164198,2.1505806968362036,0.9371245494593513,3.484181017220665,4.084901882258711,0.5406487785342411,0.10212254705646777,2.973568281938326,21.95634761714057,52.25070084100921,82.74255319148936,3.195835002002403,0.7929515418502203,24.81203007518797,28,179,78,6.392857142857143,15.64245810055866,35.8974358974359,0.3364036844213055,2.1505806968362036
Wirtz,0.29416824359194904,0.23378634095991743,0.28797522793738173,2.337863409599174,1.1147428178221228,4.722174436607603,5.8523997935661445,0.8979872699122656,0.2244968174780664,3.7158093927404092,26.188714949251676,65.61500086014107,77.47,6.409771202477207,1.6179253397557198,25.24154589371981,19,151,72,7.947368421052632,12.582781456953644,26.38888888888889,0.29416824359194904,2.337863409599174
Sancho,0.5497051390058972,0.3203454085930918,0.35256950294861,1.7438921651221566,0.9288121314237574,5.383319292333614,5.04212299915754,1.2131423757371524,0.5686604886267903,5.648694187026115,46.85762426284751,57.88963774220725,81.13333333333334,6.141533277169334,3.6015164279696714,58.64197530864198,29,92,49,3.1724137931034484,31.521739130434785,59.183673469387756,0.5497051390058972,1.7438921651221566
