Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,attempted take ons,Succ,Match Report
22-12-2018,Sat,Bundesliga,Matchweek 17,Home,W 3–1,Leverkusen,Hertha BSC,Y,AM,90,2,0,0,0,3,2,0,0,86,1,1,0,0.8,0.8,0,5,1,69,79,87.3,9,43,4,0,0,Match Report
19-01-2019,Sat,Bundesliga,Matchweek 18,Home,L 0–1,Leverkusen,Gladbach,Y,RM,90,0,0,0,0,4,4,0,0,74,0,0,0,0.2,0.2,0.2,4,0,45,55,81.8,6,42,4,3,0,Match Report
26-01-2019,Sat,Bundesliga,Matchweek 19,Away,W 3–0,Leverkusen,Wolfsburg,Y,RM,90,1,0,1,1,3,1,0,0,65,1,2,0,1,0.2,0.2,5,0,46,51,90.2,9,48,9,2,2,Match Report
02-02-2019,Sat,Bundesliga,Matchweek 20,Home,W 3–1,Leverkusen,Bayern Munich,Y,RM,44,0,0,0,0,0,0,0,0,21,1,1,1,0,0,0,0,0,15,16,93.8,1,12,0,0,0,Match Report
08-02-2019,Fri,Bundesliga,Matchweek 21,Away,W 5–1,Leverkusen,Mainz 05,Y,RM,61,1,0,0,0,1,1,0,0,68,1,1,1,0.3,0.3,0.1,4,1,49,57,86,6,37,2,2,1,Match Report
17-02-2019,Sun,Bundesliga,Matchweek 22,Home,W 2–0,Leverkusen,Düsseldorf,Y,"RM,LM",90,1,0,0,0,2,2,0,0,99,1,0,0,0.6,0.6,0,1,0,82,92,89.1,6,57,2,1,1,Match Report
24-02-2019,Sun,Bundesliga,Matchweek 23,Away,L 2–3,Leverkusen,Dortmund,Y,RW,90,0,1,0,0,4,0,0,0,86,0,1,1,0.2,0.2,0,5,2,66,71,93,7,46,0,4,0,Match Report
02-03-2019,Sat,Bundesliga,Matchweek 24,Home,W 2–0,Leverkusen,Freiburg,Y,RW,84,0,0,0,0,2,0,0,0,70,0,0,0,0.1,0.1,0.3,3,0,56,63,88.9,4,40,4,0,0,Match Report
10-03-2019,Sun,Bundesliga,Matchweek 25,Away,W 3–2,Leverkusen,Hannover 96,Y,"RW,LW",90,1,0,0,0,3,1,0,0,60,2,1,3,0.4,0.4,0,4,2,28,41,68.3,6,36,1,5,3,Match Report
17-03-2019,Sun,Bundesliga,Matchweek 26,Home,L 1–3,Leverkusen,Werder Bremen,N,RM,45,0,0,0,0,1,0,0,0,38,0,1,0,0.1,0.1,0,1,0,32,35,91.4,5,27,7,1,1,Match Report
29-03-2019,Fri,Bundesliga,Matchweek 27,Away,L 1–4,Leverkusen,Hoffenheim,Y,"RW,RM",90,0,0,0,0,2,1,1,0,68,2,1,0,0.4,0.4,0.1,4,0,45,52,86.5,6,43,3,6,5,Match Report
